,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,property,age,number_credits,job,people_liable,telephone,credit_risk
332,4,6,4,3,1554,1,4,1,2,3,24,2,3,2,2,1
333,4,22,2,0,1283,5,4,4,2,2,25,1,3,2,1,1
334,4,24,3,0,717,5,5,4,4,3,54,2,3,2,2,1
335,1,24,2,2,1747,1,2,4,3,2,24,1,2,2,1,1
336,1,9,4,5,1288,2,5,3,3,1,48,2,3,1,1,1
337,1,10,4,0,1038,1,4,4,3,2,49,2,3,2,2,1
338,4,10,2,1,2848,2,3,1,3,1,32,1,3,1,1,1
339,4,12,2,1,1413,4,4,3,3,2,55,1,3,2,1,1
340,4,30,4,3,3077,5,5,3,3,3,40,2,3,1,2,1
341,1,24,1,1,3632,1,3,1,2,3,22,1,3,2,1,1
342,4,18,4,1,3229,5,1,2,3,4,38,1,4,2,2,1
343,4,9,2,0,3577,2,3,1,3,1,26,1,3,1,1,1
344,4,12,4,0,682,2,4,4,2,3,51,2,3,2,2,1
345,4,10,2,3,1924,1,3,1,3,2,38,1,3,2,2,1
346,4,10,2,6,727,3,5,4,3,4,46,1,3,2,2,1
347,3,10,4,0,781,1,5,4,3,4,63,2,3,2,2,1
348,1,12,4,0,2121,1,3,4,3,2,30,2,3,2,1,1
349,4,12,4,6,701,1,3,4,3,3,32,2,3,2,1,1
350,4,10,4,2,2069,5,3,2,4,3,26,2,3,2,1,1
351,4,24,2,0,1525,4,4,4,2,3,34,1,3,1,2,1
352,4,48,4,9,7629,5,5,4,1,3,46,2,4,1,1,1
353,1,12,4,0,3499,1,3,3,2,1,29,2,3,2,1,0
354,4,6,2,3,1346,2,5,2,3,4,42,1,3,1,2,1
355,4,36,4,1,10477,5,5,2,3,4,42,2,3,2,1,1
356,1,24,2,1,2924,1,3,3,3,4,63,1,3,1,2,1
357,4,10,4,0,1231,1,5,3,3,1,32,2,2,1,1,1
358,3,18,2,0,1961,1,5,3,2,3,23,1,4,2,1,1
359,4,15,4,0,5045,5,5,1,2,3,59,1,3,2,2,1
360,4,12,4,0,1255,1,5,4,3,1,61,2,2,2,1,1
361,1,12,2,2,1858,1,2,4,2,3,22,1,3,2,1,1
362,4,6,4,2,1221,5,3,1,4,2,27,2,3,2,1,1
363,4,9,2,2,1388,1,3,4,2,1,26,1,3,2,1,1
364,4,12,2,3,2279,5,3,4,3,4,37,1,3,2,2,1
365,4,12,0,2,2759,1,5,2,3,2,34,2,3,2,1,1
366,3,24,2,3,1258,3,3,3,2,3,57,1,2,2,1,1
367,2,12,0,8,1410,1,3,2,3,1,31,1,2,2,2,1
368,1,15,2,0,1403,1,3,2,2,3,28,1,3,2,1,1
369,1,24,2,2,3021,1,3,2,1,1,24,1,2,2,1,1
370,1,24,2,9,6568,1,3,2,4,3,21,1,2,2,1,1
371,4,24,4,3,2578,4,5,2,3,3,34,1,3,2,1,1
372,2,24,4,1,7758,4,5,2,2,4,29,1,3,2,1,1
373,1,6,2,4,343,1,2,4,2,1,27,1,3,2,1,1
374,4,21,3,2,1591,2,4,4,3,1,34,2,4,2,1,1
375,1,27,2,3,3416,1,3,3,3,3,27,1,4,2,1,1
376,1,12,0,5,1108,1,4,4,3,1,28,2,3,2,1,0
377,2,27,3,1,5965,1,5,1,3,3,30,2,4,2,2,1
378,2,15,2,5,1514,2,3,4,3,1,22,1,3,2,1,1
379,4,30,4,3,6742,5,4,2,3,2,36,2,3,2,1,1
380,1,18,2,2,3650,1,2,1,2,3,22,1,3,2,1,1
381,1,21,2,2,3599,1,4,1,2,3,26,1,2,2,1,1
382,4,60,4,0,13756,5,5,2,3,4,63,1,4,2,2,1
383,2,9,2,0,276,1,3,4,4,1,22,1,2,2,1,1
384,4,42,4,2,4041,3,3,4,3,1,36,2,3,2,2,1
385,2,9,2,3,458,1,3,4,3,1,24,1,3,2,1,1
386,2,9,2,2,918,1,3,4,2,2,30,1,3,2,1,0
387,4,24,2,0,7393,1,3,1,3,2,43,1,2,1,1,1
388,3,10,2,4,1225,1,3,2,3,3,37,1,3,2,2,1
389,1,24,2,1,2812,5,5,2,2,1,26,1,3,2,1,1
390,4,15,2,1,3029,1,4,2,3,3,33,1,3,2,1,1
391,3,12,4,0,1480,3,1,2,3,4,66,3,1,2,1,1
392,3,6,4,6,1047,1,3,2,2,2,50,1,2,2,1,1
393,4,15,4,3,1471,1,3,4,3,4,35,2,3,2,2,1
394,4,24,2,2,5511,2,3,4,3,3,25,1,3,2,1,1
395,2,9,2,3,1206,1,5,4,2,1,25,1,3,2,1,1
396,2,24,3,3,6403,1,2,1,3,3,33,1,3,2,1,1
397,4,12,2,3,707,1,3,4,3,1,30,2,3,2,1,1
398,4,12,3,1,1503,1,3,4,4,1,41,1,3,2,1,1
399,2,12,2,0,6078,1,4,2,3,3,32,1,3,2,1,1
400,2,27,2,9,2528,1,2,4,2,2,32,1,3,1,2,1
401,2,12,2,9,1037,2,4,3,3,1,39,1,2,2,1,1
402,1,6,2,1,1352,3,1,1,2,2,23,1,1,2,2,1
403,4,24,2,3,3181,1,2,4,2,2,26,1,3,2,2,1
404,4,18,2,3,4594,1,2,3,3,3,32,1,3,2,2,1
405,2,48,2,10,5381,5,1,3,3,4,40,1,1,2,2,1
406,4,15,2,1,4657,1,3,3,3,3,30,1,3,2,2,1
407,2,9,2,9,1391,1,3,2,4,1,27,1,3,2,2,1
408,2,18,2,9,1913,4,2,3,4,1,36,1,3,2,2,1
409,4,42,2,3,7166,5,4,2,4,2,29,1,3,2,2,1
410,4,13,2,3,1409,2,1,2,2,1,64,1,3,2,1,1
411,4,24,3,9,2978,5,3,4,3,1,32,2,3,1,2,1
412,4,12,4,3,976,5,5,4,3,3,35,2,3,2,1,1
413,4,24,3,9,2375,3,3,4,3,3,44,2,3,1,2,1
414,4,12,4,3,522,3,5,4,3,2,42,2,3,1,2,1
415,4,28,4,3,2743,1,5,4,3,3,29,2,3,2,1,1
416,4,11,4,3,1154,2,1,4,2,1,57,3,2,2,1,1
417,4,24,4,1,5804,4,3,4,3,1,27,2,3,2,1,1
418,4,18,4,3,1169,5,3,4,3,2,29,2,3,2,2,1
419,1,15,4,2,1478,1,5,4,3,3,44,2,3,1,2,1
420,4,12,2,3,776,1,3,4,4,1,28,1,3,2,1,1
421,2,11,4,0,1322,4,3,4,2,3,40,2,3,2,1,1
422,2,16,4,0,1175,1,1,2,3,3,68,3,1,2,2,1
423,4,12,2,0,2133,5,5,4,2,4,52,1,4,2,2,1
424,4,15,4,3,1829,1,5,4,3,3,46,2,3,2,2,1
425,4,12,4,3,717,1,5,4,3,1,52,3,3,2,1,1
426,2,39,3,6,11760,2,4,2,3,4,32,1,3,2,2,1
427,2,9,4,6,1501,1,5,2,2,3,34,2,4,2,2,0
428,1,12,2,6,1200,5,3,4,2,2,23,1,3,2,2,1
429,2,9,2,0,3195,5,3,1,2,1,33,1,2,2,1,1
430,4,30,4,3,4530,1,4,4,2,3,26,1,4,2,2,1
431,4,12,3,5,1555,4,5,4,3,4,55,2,3,1,1,0
432,2,15,4,9,2326,3,3,2,3,3,27,1,3,2,1,1
433,2,18,4,9,1887,5,3,4,4,1,28,2,3,2,1,1
434,4,12,4,9,1264,5,5,4,3,4,57,1,2,2,1,1
435,4,7,3,3,846,5,5,3,3,4,36,1,3,2,1,1
436,4,15,4,6,1532,2,3,4,2,3,31,1,3,2,1,1
437,4,6,3,3,935,1,3,3,2,1,24,1,3,2,1,1
438,1,27,4,9,2442,1,5,4,3,3,43,4,4,1,2,1
439,2,18,4,9,3590,1,1,3,4,3,40,3,1,1,2,1
440,4,21,4,2,2288,1,2,4,2,2,23,1,3,2,2,1
441,4,27,3,9,5117,1,4,3,3,3,26,2,3,2,1,1
442,1,39,4,2,14179,5,4,4,3,2,30,2,4,2,2,1
443,4,15,2,3,1386,5,3,4,4,1,40,1,3,2,2,1
444,4,12,4,3,618,1,5,4,3,1,56,1,3,2,1,1
445,4,12,2,2,1574,1,3,4,3,1,50,1,3,2,1,1
446,4,6,4,3,700,5,5,4,3,4,36,2,3,2,1,1
447,4,12,2,3,886,5,3,4,2,3,21,1,3,2,1,1
448,4,36,2,1,4686,1,3,2,3,4,32,1,4,2,2,1
449,2,9,2,3,790,3,3,4,2,1,66,1,2,2,1,1
450,2,12,2,3,766,3,3,4,3,1,66,1,2,2,1,0
451,1,20,2,2,2212,5,4,4,3,3,39,1,3,2,2,1
452,2,10,2,0,7308,1,1,2,3,4,70,1,4,2,2,1
453,2,24,4,6,5743,1,2,2,2,4,24,2,3,2,2,1
454,1,14,2,0,3973,1,1,1,3,4,22,1,3,2,1,1
455,2,60,3,3,7418,5,3,1,3,1,27,1,2,2,1,1
456,2,20,3,10,2629,1,3,2,3,3,29,2,3,2,2,1
457,2,18,2,9,1941,4,3,4,3,2,35,1,2,2,2,1
458,2,24,3,2,2333,5,2,4,3,2,29,1,2,2,1,1
459,4,12,2,1,2445,5,2,2,4,3,26,1,3,2,2,1
460,2,20,2,1,6468,5,1,1,1,1,60,1,4,2,2,1
461,2,18,4,2,7374,1,1,4,3,2,40,2,4,2,2,1
462,4,15,2,1,3812,2,2,1,2,3,23,1,3,2,2,1
463,1,28,2,0,4006,1,3,3,3,3,45,1,2,2,1,0
464,2,12,2,0,7472,5,1,1,2,1,24,1,1,2,1,1
465,3,12,2,2,1424,5,5,3,2,1,55,1,4,2,2,1
466,2,12,2,1,2028,5,3,4,3,3,30,1,3,2,1,1
467,4,15,2,0,5324,3,5,1,2,4,35,1,3,2,1,1
468,2,36,2,3,2323,1,4,4,3,3,24,1,3,2,1,1
469,4,12,2,6,1393,1,5,4,3,2,47,3,3,1,2,1
470,4,18,2,2,1984,1,3,4,3,4,47,2,3,2,1,1
471,4,24,2,3,999,5,5,4,3,3,25,2,3,2,1,1
472,4,36,2,9,7409,5,5,3,3,2,37,2,3,2,1,1
473,4,15,2,2,2186,5,4,1,2,1,33,1,2,2,1,1
474,3,36,2,3,4473,1,5,4,3,3,31,1,3,2,1,1
475,4,24,2,8,937,1,2,4,4,3,27,2,2,2,1,1
476,4,18,2,2,3422,1,5,4,3,2,47,3,3,1,2,1
477,4,24,2,3,3105,5,2,4,3,3,25,2,3,2,1,1
478,4,12,4,6,2748,1,5,2,2,4,57,3,2,2,1,1
479,2,18,2,5,3872,1,1,2,2,3,67,1,3,2,2,1
480,4,27,2,5,5190,5,5,4,3,2,48,4,3,1,2,1
481,2,18,2,2,3001,1,4,2,2,1,40,1,3,2,1,1
482,4,24,3,9,3863,1,3,1,3,4,32,1,3,2,1,1
483,4,12,4,2,5801,5,5,2,3,2,49,1,3,2,2,1
484,4,12,4,2,1592,4,4,3,2,2,35,1,3,2,1,1
485,4,12,4,9,1185,1,3,3,2,1,27,2,3,2,1,1
486,4,18,4,2,3780,1,2,3,1,3,35,2,4,2,2,1
487,2,18,4,2,3612,1,5,3,2,2,37,1,3,2,2,1
488,4,12,2,9,1076,1,3,2,4,1,26,1,3,2,2,1
489,4,12,2,0,3527,5,2,2,3,2,45,1,4,1,2,1
490,4,18,2,3,2051,1,2,4,3,1,33,1,3,2,1,1
491,4,12,4,2,3331,1,5,2,3,2,42,1,3,2,1,1
492,1,18,0,9,3104,1,4,3,3,2,31,1,3,2,2,1
493,4,24,4,3,2611,1,5,4,4,1,46,2,3,2,1,1
494,1,12,4,1,1409,1,5,4,3,1,54,1,3,2,1,1
495,4,24,2,3,1311,2,4,4,4,2,26,1,3,2,2,1
496,4,6,2,3,2108,1,4,2,4,1,29,1,3,2,1,1
497,4,24,4,1,4042,5,4,3,3,2,43,2,3,2,2,1
498,4,12,4,0,926,1,1,1,2,2,38,1,1,2,1,1
499,1,12,2,3,1680,3,5,3,4,1,35,1,3,2,1,1
500,4,24,2,0,1249,1,2,4,4,1,28,1,3,2,1,1
501,4,24,4,0,2463,2,4,4,4,2,27,2,3,2,2,1
502,4,6,2,3,1595,1,4,3,3,2,51,1,3,1,1,1
503,4,24,4,5,2058,1,3,4,1,1,33,2,3,2,2,1
504,4,24,2,1,7814,1,4,3,3,3,38,1,4,2,2,1
505,4,6,4,3,1740,1,5,2,4,1,30,2,3,2,1,1
506,4,12,4,3,1240,5,5,4,2,1,38,2,3,2,2,1
507,4,24,4,1,6842,5,3,2,3,2,46,2,4,1,2,1
508,4,24,4,2,5150,1,5,4,3,3,33,1,3,2,2,1
509,1,6,2,0,1203,2,5,3,3,2,43,1,3,2,2,1
510,4,6,4,0,2080,3,3,1,4,3,24,1,3,2,1,1
511,4,6,2,6,1538,1,2,1,2,4,56,1,3,2,1,1
512,2,24,4,0,3878,2,2,4,1,3,37,1,3,2,2,1
513,2,30,2,2,3832,1,2,2,4,2,22,1,3,2,1,1
514,4,15,2,0,3186,4,4,2,2,3,20,1,3,2,1,1
515,2,24,2,3,2896,2,2,2,3,3,29,1,3,2,1,1
516,2,24,3,9,6967,2,4,4,3,3,36,1,4,2,2,1
517,4,36,2,6,1819,1,3,4,3,4,37,1,3,2,2,0
518,4,24,2,3,5943,5,2,1,2,3,44,2,3,2,2,0
519,4,36,4,2,7127,1,2,2,2,2,23,2,3,2,2,0
520,4,36,2,2,3349,1,3,4,2,3,28,1,4,2,2,0
521,4,36,2,2,10974,1,1,4,2,3,26,2,4,2,2,0
522,4,6,2,3,518,1,3,3,2,1,29,1,3,2,1,1
523,4,18,2,3,1126,5,2,4,2,1,21,1,3,2,2,1
524,2,12,4,1,1860,1,1,4,3,3,34,2,4,2,2,1
525,4,36,4,3,9566,1,3,2,2,3,31,2,3,2,1,1
526,1,12,2,3,701,1,3,4,4,1,40,1,2,2,1,1
527,2,12,2,3,2930,1,4,2,2,1,27,1,3,2,1,1
528,4,18,2,3,1505,1,3,4,3,4,32,1,4,2,2,1
529,4,18,4,3,2238,1,3,2,2,3,25,2,3,2,1,1
530,4,4,4,3,1503,1,4,2,3,1,42,2,2,1,1,1
531,4,24,4,1,2197,5,4,4,3,3,43,2,3,1,2,1
532,3,12,2,3,1881,1,3,2,2,3,44,1,2,2,2,1
533,1,18,4,3,1880,1,4,4,4,2,32,2,4,2,2,1
534,1,18,2,3,2389,1,2,4,2,3,27,1,3,2,1,1
535,2,24,2,3,1967,1,5,4,2,3,20,1,3,2,2,1
536,4,4,4,0,3380,1,4,1,2,1,37,1,3,1,1,1
537,4,4,4,0,1455,1,4,2,3,1,42,3,2,1,1,1
538,4,7,4,3,730,5,5,4,3,2,46,2,2,2,2,1
539,2,18,0,2,3244,1,3,1,2,3,33,2,3,2,2,1
540,2,9,2,3,1670,1,2,4,2,3,22,1,3,2,2,0
541,2,48,2,3,3979,5,4,4,3,3,41,2,3,1,2,1
542,2,12,2,2,1922,1,3,4,3,2,37,1,2,2,1,0
543,2,18,4,2,1295,1,2,4,2,2,27,2,3,2,1,1
544,4,4,4,3,1544,1,4,2,3,1,42,3,2,1,1,1
545,2,8,2,9,907,1,2,3,4,1,26,1,3,2,2,1
546,2,30,2,3,1715,5,3,4,2,3,26,1,3,2,1,1
547,3,10,4,3,1347,5,4,4,3,2,27,2,3,2,2,1
548,2,12,2,0,1007,4,3,4,4,1,22,1,3,2,1,1
549,4,12,4,2,1402,3,4,3,2,3,37,1,3,2,2,1
550,2,12,2,0,2002,1,4,3,3,2,30,1,3,1,2,1
551,4,12,4,6,2096,1,4,2,3,1,49,1,2,1,1,1
552,4,12,2,0,1101,1,3,3,4,1,27,2,3,2,2,1
553,4,10,2,8,894,5,4,4,2,2,40,1,3,2,2,1
554,2,11,2,2,1577,4,2,4,2,1,20,1,3,2,1,1
555,4,33,3,9,2764,1,3,2,2,3,26,2,3,2,2,1
556,2,48,0,0,8358,3,2,1,2,3,30,2,3,2,1,1
557,3,12,2,2,1474,1,2,4,2,2,33,1,4,2,2,1
558,4,24,2,1,5433,5,1,2,2,2,26,1,4,2,2,1
559,2,14,2,9,1410,3,5,1,4,1,35,1,3,2,2,1
560,4,20,4,0,3485,5,2,2,1,1,44,2,3,2,2,1
561,4,18,4,1,3850,1,4,3,3,3,27,2,3,2,1,1
562,2,60,2,0,7408,2,2,4,2,2,24,1,4,2,1,0
563,3,24,2,3,1377,2,5,4,2,4,47,1,3,2,2,1
564,4,30,3,9,4272,2,3,2,3,2,26,2,2,2,1,1
565,2,24,3,3,1553,2,4,3,2,2,23,2,3,2,2,1
566,2,36,3,9,9857,2,4,1,3,2,31,2,2,1,2,1
567,4,6,4,0,362,2,3,4,2,3,52,2,2,2,1,1
568,4,12,4,2,1935,1,5,4,3,1,43,3,3,2,2,1
569,4,48,2,3,10222,5,4,4,3,3,37,1,3,2,2,1
570,3,12,2,0,1330,1,2,4,3,1,26,1,3,2,1,1
571,4,36,2,6,9055,5,3,2,3,4,35,1,2,1,2,1
572,2,26,2,1,7966,1,2,2,3,3,30,2,3,2,1,1
573,2,30,1,2,3496,4,3,4,3,3,34,1,3,1,2,1
574,2,36,2,1,6948,1,3,2,3,3,35,1,4,2,2,1
575,2,48,0,9,12204,5,3,2,3,3,48,1,4,2,2,1
576,1,36,2,2,3446,1,5,4,3,3,42,1,3,1,1,0
577,1,12,2,6,684,1,3,4,3,3,40,1,2,1,1,0
578,1,33,4,2,4281,3,3,1,2,3,23,2,3,2,1,0
579,1,42,2,3,7174,5,4,4,2,3,30,1,4,2,2,0
580,1,24,1,3,1546,1,4,4,3,3,24,1,2,2,1,0
581,1,24,2,2,2359,2,1,1,1,2,33,1,3,2,1,0
582,4,24,2,3,3621,2,5,2,3,3,31,2,3,2,1,0
583,1,12,2,4,741,2,1,4,2,2,22,1,3,2,1,0
584,1,12,2,2,7865,1,5,4,3,4,53,1,4,2,2,0
585,1,24,2,1,2910,1,4,2,3,4,34,1,4,2,2,1
586,1,18,4,0,5302,1,5,2,3,4,36,3,4,2,2,1
587,1,36,2,2,3620,1,3,1,3,2,37,1,3,1,1,1
588,1,18,2,3,3509,1,4,4,2,1,25,1,3,2,1,1
589,2,12,2,2,3017,1,2,3,2,1,34,1,4,2,1,1
590,1,12,2,2,1657,1,3,2,3,1,27,1,3,2,1,1
591,1,8,4,10,1164,1,5,3,3,4,51,2,4,1,2,1
592,1,36,4,2,6229,1,2,4,2,4,23,2,2,2,2,0
593,1,24,1,0,1193,1,1,1,2,4,29,2,1,2,1,0
594,1,30,0,2,4583,1,3,2,1,1,32,2,3,2,1,1
595,1,36,4,2,5371,1,3,3,3,2,28,2,3,2,1,1
596,1,12,2,2,708,1,3,2,3,2,38,1,2,1,1,1
597,1,21,4,0,571,1,5,4,3,1,65,2,3,2,1,1
598,1,30,2,3,2522,1,5,1,3,2,39,1,3,1,1,1
599,1,36,2,2,5179,1,4,4,3,2,29,1,3,2,1,0
600,1,36,2,1,8229,1,3,2,3,2,26,1,3,1,1,0
601,4,24,4,2,2028,1,4,2,3,2,30,2,2,2,1,1
602,1,6,2,0,1374,5,1,4,2,2,75,1,4,2,2,1
603,1,12,2,2,1289,1,3,4,3,2,21,1,2,2,1,1
604,1,36,2,2,2712,1,5,2,3,2,41,1,3,1,1,0
605,1,15,4,2,975,1,3,2,1,2,25,2,3,2,1,1
606,2,6,3,2,1050,1,1,4,3,2,35,2,4,2,2,1
607,1,6,4,0,609,1,4,4,2,2,37,2,3,2,1,1
608,1,48,2,1,4788,1,4,4,3,2,26,1,3,1,1,1
609,2,24,2,2,3069,2,5,4,3,4,30,1,3,2,1,1
610,2,12,2,0,836,2,2,4,2,2,23,1,2,2,1,0
611,1,12,2,2,2577,1,3,2,1,3,42,1,3,2,1,1
612,1,12,2,2,1620,1,3,2,2,2,30,1,3,2,1,1
613,1,15,2,2,1845,1,2,4,2,2,46,1,3,2,1,1
614,1,24,2,1,6579,1,1,4,3,4,29,1,4,2,2,1
615,1,12,2,0,1893,1,3,4,2,2,29,1,3,2,2,1
616,1,30,4,1,10623,1,5,3,3,4,38,3,4,1,2,1
617,1,18,2,0,2249,2,4,4,3,3,30,1,4,1,2,1
618,1,30,2,2,3108,1,2,2,1,2,31,1,2,2,1,0
619,2,12,4,0,958,1,4,2,3,1,47,2,2,1,1,1
620,4,24,2,1,9277,5,3,2,1,4,48,1,3,2,2,1
621,4,24,4,10,6314,1,1,4,3,4,27,2,4,2,2,1
622,1,12,4,1,1526,1,5,4,3,4,66,2,4,2,1,1
623,1,12,2,2,3590,1,3,2,3,2,29,1,2,1,1,1
624,1,24,4,1,6615,1,1,2,3,4,75,2,4,2,2,1
625,1,6,4,2,1872,1,1,4,3,4,36,3,4,2,2,1
626,4,12,2,0,2859,5,1,4,3,4,38,1,4,2,2,1
627,4,18,4,3,1582,4,5,4,3,3,46,2,3,2,1,1
628,4,6,2,8,1238,5,1,4,3,2,36,1,4,1,2,1
629,1,12,2,2,2578,1,1,3,2,4,55,1,4,2,1,1
630,1,15,4,2,1433,1,3,4,2,2,25,2,3,2,1,1
631,1,42,2,2,7882,1,4,2,3,2,45,1,3,1,1,1
632,1,24,2,2,4169,1,3,4,3,2,28,1,3,2,1,1
633,1,36,2,2,3959,1,1,4,3,2,30,1,4,2,2,1
634,1,36,2,0,3249,1,4,2,3,4,39,1,4,1,2,1
635,1,24,2,2,3149,1,2,4,3,4,22,1,3,2,1,1
636,1,12,4,2,2246,1,5,3,3,2,60,2,3,2,1,0
637,1,13,4,9,1797,1,2,3,3,2,28,2,2,2,1,1
638,1,20,4,2,4272,1,5,1,2,2,24,2,3,2,1,1
639,1,24,4,1,2957,1,5,4,3,2,63,2,3,2,2,1
640,1,36,4,2,2348,1,3,3,4,2,46,2,3,2,2,1
641,3,42,0,9,6289,1,2,2,1,2,33,2,3,2,1,1
642,1,24,4,1,6419,1,5,2,2,4,44,2,4,1,2,1
643,1,48,4,1,6143,1,5,4,2,4,58,2,2,2,1,0
644,4,24,4,6,1597,1,5,4,3,4,54,2,3,1,1,1
645,1,36,2,10,15857,1,1,2,1,3,43,1,4,2,1,1
646,4,24,4,3,2223,2,5,4,3,2,52,2,3,2,1,1
647,4,48,3,3,7238,5,5,3,3,3,32,2,3,1,1,1
648,2,30,3,9,2503,2,5,4,3,2,41,2,3,2,1,1
649,2,18,2,9,2622,2,3,4,3,3,34,1,3,2,1,1
650,2,24,2,2,4351,5,3,1,2,2,48,1,2,2,2,1
651,2,6,2,3,368,5,5,4,3,2,38,1,3,2,1,1
652,2,12,2,8,754,5,5,4,3,2,38,2,3,2,1,1
653,4,24,4,3,2424,5,5,4,3,2,53,2,3,2,1,1
654,2,48,3,9,6681,5,3,4,3,4,38,1,3,1,2,1
655,2,18,3,9,2427,5,5,4,3,2,42,2,3,2,1,1
656,2,24,4,3,1216,2,2,4,3,4,38,2,3,1,1,0
657,2,6,2,3,753,1,3,2,2,1,64,1,3,2,1,1
658,2,7,2,3,2576,1,3,2,3,1,35,1,3,2,1,1
659,2,6,2,3,590,1,2,3,4,1,26,1,2,2,1,1
660,2,8,2,3,1414,1,3,4,3,1,33,1,3,2,1,1
661,2,12,2,3,1103,1,4,4,3,1,29,2,3,2,1,1
662,2,12,3,3,585,1,3,4,4,1,20,2,3,2,1,1
663,2,6,2,3,1068,1,5,4,3,3,28,1,3,1,1,1
664,1,8,4,0,713,1,5,4,3,1,47,2,2,2,1,1
665,2,12,2,3,1092,1,3,4,2,1,49,2,3,2,2,1
